Rating,Reviews,Brand,Product_Name,Price,Size,Category
4.4,1100.0,Quench,Cica Pimple Acne Patches-24Pcs,254,Pack,mask and peel
4.6,794.0,TNW the natural wash,Set of 2 Vitamin C Face Wash,481,Pack,face wash and cleanser
,,Rahul Phate Research Product,Ulti-Care hand-n-Body lotion,399,Pack,body cream and lotion
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
4.8,16.0,THE SOUMI'S CAN PRODUCT,2-Pcs Fresh Face Pack,170,240-280gm,mask and peel
3.8,6.0,Tuco,Peel-Off Nail Color - 5 ml,125,0-5 ML,nail polish
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
,,ZAROON PRODUCTION,HALF SLEEVES LINING COLLAR TOP,270,L,tops
4.3,9.0,THE SOUMI'S CAN PRODUCT,Hair Shampoo & Conditioner,271,360-380 ML,hair care combo
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
,,Clinique,Hydrators Skincare Set,5800,100-120 ML,skin care combo
,,Chantecaille,Rose de Mai Cleansing Balm,7200,50-90 ML,face wash and cleanser
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
,,Clinique,Mini 3-Step Kit For Dry Skin,2100,100-120 ML,skin care combo
4.6,10.0,Rovectin,Vita Dark Spot Serum 30ml,2518,20-30 ML,serum and gel
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
,,DC PRODUCTION,Floral Saree,1299,M,sarees
,,VEGAL,Striped Nightdress,852,M,nightdress
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
,,akind,Sleep Tight Firming Serum 30ml,718,20-30 ML,serum and gel
,,Radhe Products,Women Wool Shawl,662,Onesize,shawl
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
,,Pik Product,Set Of 2 Attar - 6 ml Each,205,Onesize,attar
,,ZAROON PRODUCTION,Brown Ribbed Bodysuit,300,XXS,tops
3.7,19.0,FLiCKA,Lipstick - Twinkle Twinkle 01,435,4-5 ML,lipstick
3.6,12.0,ZAROON PRODUCTION,Pink Ribbed High Neck Top,295,L,tops
4.2,5.0,Rahul Phate Research Product,Hydra-Aqua Brightening Gel 50g,575,200-250gm,serum and gel
4.4,668.0,OROSSENTIALS,Small Oval Wooden Hair Brush,432,Onesize,hair brush and comb
,,Bhartiye Products,Structured Handheld Bag,750,Onesize,handbags
4.4,379.0,Soulflower,Set of Face Wash & Shampoo,700,Pack,shampoo
4.5,300.0,KAMA AYURVEDA,Sustain Unisex Cleansing Foam 100 ml,2295,90-100 ML,face wash and cleanser
,,ZAROON PRODUCTION,Ribbed Crop Top,270,L,tops
3.9,9.0,ZAROON PRODUCTION,Cotton Crop Top,270,XS,tops
4.3,14500.0,WOW SKIN SCIENCE,Face Wash with Built-In Brush,298,125-150 ML,face wash and cleanser
,,ZAROON PRODUCTION,HALF SLEEVES LINING CROP TOP,263,XS,tops
4.5,27.0,THE SOUMI'S CAN PRODUCT,Set of 2 Active Face Pack,170,240-280gm,mask and peel
4.2,6800.0,Renee,Set Of 4 Very Matte Lipsticks,473,0-2 ML,lipstick
,,DONATO STYLING PRODUCTS,Oud Bianco EDP -10 ml,500,0-25 ML,perfume
4.1,7.0,ZAROON PRODUCTION,COLLAR TOP FOR WOMEN,247,M,tops
4.5,1600.0,FAE BEAUTY,Lush Liquid Blush - Spicy 08,540,5-5.5 ML,blush
,,Radhe Products,Women Wool Shawl,494,Onesize,shawl
,,Radhe Products,Women Wool Shawl,483,Onesize,shawl
3.9,617.0,Renee,Lipstick - Queen Bee S06,414,3.5-4 ML,lipstick
4.0,8.0,THE SOUMI'S CAN PRODUCT,Scrubber & Serum Combo,471,400 ML & Above,skin care combo
,,Rahul Phate Research Product,Absolute Repair  Hair Serum,450,Pack,hair serum
4.5,51700.0,Minimalist,Salicylic Acid Face Serum 10ml,236,0-10 ML,serum and gel
,,Rahul Phate Research Product,Strength-N-Shine Hair Serum,450,Pack,hair serum
,,ZAROON PRODUCTION,Red High Neck Top,403,XS,tops
4.4,1100.0,Quench,Cica Pimple Acne Patches-24Pcs,254,Pack,mask and peel
,,NATURAL HEALTH & HERBAL PRODUCTS,Hair Color- 50 g- Brown,399,50-100gm,hair colour
4.6,18.0,Medimade,Vitamin C Face Scrub - 30g,133,20-50 ML,face scrub and exfoliator
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
4.3,20.0,THE SOUMI'S CAN PRODUCT,2 Pcs Anti Wrinkle Cream,377,75-100 ML,night cream
,,DERMA KR,10% Niacinamide Serum 15 ml,349,20-30 ML,serum and gel
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
,,ZAROON PRODUCTION,Casual Ribbed Tank,335,S,tops
,,Passion Indulge,Grape Seed Carrier Oil 60 ml,334,50-100 ML,massage oils
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
,,Pik Product,Oudh Attar - 6 ml,165,Onesize,attar
,,Adbeni,Compact Powder - 9 g,328,20-30gm,compact
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
,,ZAROON PRODUCTION,Ribbed High Neck Bodysuit,307,S,tops
,,ZAROON PRODUCTION,RIBBED HIGHNECK BODYSUIT,305,XXS,tops
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
4.6,5.0,THE SOUMI'S CAN PRODUCT,Scrubber & Face Wash- 450ml,301,400 ML & Above,skin care combo
,,ZAROON PRODUCTION,Ribbed Bodysuit,300,XXS,tops
4.4,109.0,BRILLARE,Oil Away Face Wash-100ml,323,90-100 ML,face wash and cleanser
4.6,28.0,OGX,Coconut Milk Conditioner,320,80-90 ML,conditioner
,,Pik Product,Set Of 2 Attar - 6 ml Each,205,Onesize,attar
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
,,MasKing,Set of 2 Facial Sheet Masks,159,Pack,mask and peel
,,ZAROON PRODUCTION,High Neck Ribbed Top,394,XS,tops
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
